,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
4732,SDSS J00441+0111,11.037499999999998,1.1916666666666664,AGN,9.192725000000001e-14,6.75082e-14,2.0672656e-14,2.2618549999999998e-15,3.6541462e-16,,266.2914,20.821856,18.777275,17.230736,15.755999999999998,15.092,14.54,13.732999999999999,13.364,10.934000000000001
4733,Q 0046-2952,12.164583333333333,-29.59972222222222,AGN,1.2927043e-13,5.3713930000000005e-14,1.8951014e-14,1.9803439e-14,1.8090565e-14,0.29845700000000003,942.6091,20.141825,20.146442,19.655268,,,,15.602,14.777999999999999,11.628
4734,MARK  348,12.196666666666665,31.956944444444442,AGN,1.9225020000000002e-11,1.6721128e-11,2.3586417000000003e-12,6.93927e-14,5.854942999999999e-14,0.14629173,294441.0,17.947214000000002,16.003094,14.716973000000001,12.954,12.304,11.546,9.396,8.189,5.077
4735,XBS J00501-5159,12.54,-51.992222222222225,AGN,1.2794041999999998e-13,3.1877567e-14,2.945420500000001e-14,2.1218573e-14,2.112205e-14,0.38442832,1683.865,20.769236,20.782626999999998,20.09911,,,,16.566,15.758,12.093
4736,HXMM J00505-5200B,12.628749999999998,-52.01333333333333,AGN,5.3689183000000005e-14,2.9403817000000007e-14,1.4330024e-14,4.6827657e-15,8.532432e-16,,114.0477,,,,,,,16.472,15.872,12.673
4737,Q J005301+124538,13.253749999999998,12.760277777777775,AGN,3.829909e-14,1.44942e-14,7.918534e-15,6.17109e-15,5.310395e-15,0.493745,612.8082,21.138014000000002,21.461985000000002,19.412254,,,,17.182000000000002,16.719,12.048
4738,SDSS J00534-0857,13.370416666666666,-8.965277777777779,AGN,1.0687482e-12,3.7965657e-13,1.7409013e-13,1.5621554e-13,1.7594151999999996e-13,0.18617329,5151.383,18.276546,18.17458,17.321479999999998,16.163,15.533,14.663,13.597999999999999,12.584000000000001,9.488999999999999
4739,NGC  291,13.374166666666666,-8.767777777777779,AGN,1.4604907e-13,1.0481742999999997e-13,4.993643e-15,1.0719697e-14,1.4726943e-14,,503.11300000000006,20.0068,16.768559,15.304882000000001,13.636,12.915999999999999,12.398,11.054,10.725999999999999,6.568
4740,IRAS 00521-7054,13.482916666666664,-70.63472222222221,AGN,5.9313855e-13,4.5363352000000003e-13,1.1140618999999999e-13,1.0208262e-14,9.712081e-15,0.17587097,15804.22,18.097115,17.275661,15.771999,13.78,12.455,11.177,9.418,8.118,5.235
4741,Q J005358+123038,13.489999999999998,12.510555555555555,AGN,9.472267e-15,1.339863e-15,2.3144997e-15,3.2877798e-15,1.5402514999999999e-15,,122.3006,,,,,,,16.165,15.317,12.035
