Name,RAJ2000,DEJ2000,Gal_l,Gal_b,Size,Signif,Pivot_E,Flux,F1,F2,F3,F4,F5,F6,F7,F8,PL_Index,LP_Index,LP_SigCurv,Var_Indx,ASSOC1,Class,HR1,HR2,HR3
4FGL J0204.0-3334 ,31.0238,-33.5731,239.7277,-73.08308,0.0687,7.7320533,3717.8833,1.4912877e-12,1.5444486e-16,4.3305043e-13,7.338971e-14,1.9541249e-13,2.5307545e-13,3.9934432e-13,1.1975304e-13,4.898916e-22,1.8947277,1.4491328,1.7219418,14.709603,1RXS J020413.6-333345       ,BLL,-0.71026254,0.59608215,0.25208527
4FGL J0204.3+2417 ,31.0946,24.2846,143.48354,-35.65931,0.0458,6.0155454,4236.581,1.3902496e-12,4.3417096e-16,2.4545384e-16,2.1265157e-13,1.2364446e-13,2.318348e-13,4.2792595e-13,5.2389544e-17,2.7356858e-17,1.9710182,1.785247,1.8080387,22.0841,B2 0201+24                  ,BLL,0.99362844,0.68436205,0.57262564
4FGL J0207.4-3855 ,31.8557,-38.9252,254.39658,-70.24919,0.0919,10.588549,921.7755,2.7451513e-12,4.137863e-14,4.3527492e-13,6.9456333e-13,4.3080882e-13,1.236066e-13,2.2867683e-13,3.4673316e-18,1.7694772e-19,2.4158947,2.3711452,1.1903094,6.5514603,PKS 0205-391                ,BLL,0.18605417,-0.100271165,-0.1812643
4FGL J0208.3-6838 ,32.0985,-68.6409,292.8072,-46.945667,0.0601,14.23209,1566.7412,3.3808308e-12,2.6970445e-16,1.5673528e-12,7.4851605e-13,3.565657e-13,3.971416e-13,5.0367165e-13,1.8606278e-13,4.2820858e-19,2.265303,2.2925813,0.9912947,17.888418,PKS 0206-688                ,BLL,-0.35365176,0.5059507,-0.2962263
4FGL J0208.5-0046 ,32.135,-0.7768,161.20778,-57.80094,0.0834,10.673872,1590.007,2.822761e-12,8.5516116e-13,9.964328e-13,4.5690285e-13,3.8096915e-13,4.812201e-13,1.9809458e-13,5.418768e-18,9.136999e-18,2.2229943,2.216923,0.073306695,9.493491,PKS 0205-010                ,BLL,-0.60415554,0.28138638,-0.15636885
4FGL J0208.6+3523 ,32.1706,35.3972,140.21666,-24.86848,0.0361,10.299957,4847.4165,2.4010884e-12,8.588589e-13,5.085524e-13,1.5132473e-13,2.284181e-13,4.6031923e-13,5.3099354e-13,4.771949e-13,2.7994187e-18,1.8508866,1.7231027,1.7933909,11.885189,MS 0205.7+3509              ,BLL,-0.8007228,0.730786,0.29785666
4FGL J0209.3+4449 ,32.3439,44.8301,137.16905,-15.876336,0.0374,14.709415,4410.21,3.8482217e-12,2.0997854e-12,4.787414e-13,2.7921478e-13,5.525754e-13,4.909253e-13,7.7970925e-13,1.1186413e-12,5.4159986e-13,1.8409709,1.7915814,0.8024796,23.60499,1RXS J020917.6+444951       ,BLL,-0.8045906,0.62433493,0.41270253
4FGL J0209.3-5228 ,32.3493,-52.4799,278.34457,-60.766724,0.0158,65.95216,1713.4707,2.3688914e-11,8.457562e-13,2.4300536e-12,2.6802265e-12,2.6353347e-12,4.287105e-12,4.775442e-12,5.8291622e-12,1.4957135e-12,1.8452215,1.7879848,1.6754471,140.85785,PMN J0209-5229              ,BLL,-0.09999658,0.6992836,0.39192873
4FGL J0209.9+7229 ,32.4979,72.4877,128.83585,10.52246,0.0411,14.595737,2200.2817,4.5839465e-12,2.4589085e-12,6.9698766e-13,1.0586645e-12,1.0657678e-12,1.0051881e-12,4.126088e-13,1.7405872e-13,2.0858161e-16,2.254852,2.046921,3.1689842,149.48077,S5 0205+722                 ,BLL,-0.4976157,0.19795424,0.1717092
4FGL J0211.1-0646 ,32.786,-6.7793,169.47931,-62.21236,0.0576,9.21458,2322.3918,2.2338104e-12,1.2961959e-12,2.2855022e-13,1.9835351e-13,3.8131447e-13,3.6274044e-13,3.2364394e-13,2.767137e-13,1.3385363e-17,2.0584943,1.9047142,1.5049183,23.123238,NVSS J021109-064551         ,BLL,-0.7697713,0.43274188,0.42873946
4FGL J0212.2-0219 ,33.0662,-2.3191,164.32556,-58.537155,0.0738,11.004377,2261.747,2.6810108e-12,7.132024e-18,4.7004355e-13,4.4931002e-13,4.117795e-13,3.016786e-13,4.396935e-13,2.2468662e-13,1.6065715e-13,2.059231,2.0314164,0.5840387,23.687151,RX J0212.3-0222             ,BLL,-0.022559868,0.4022818,0.11280938
4FGL J0212.4-3502 ,33.1142,-35.0489,242.51393,-70.98008,0.0496,14.657865,1765.408,3.4452055e-12,6.6906376e-13,8.095783e-13,4.71294e-13,5.2193715e-13,5.3618183e-13,3.379244e-13,5.7239906e-13,1.5771545e-22,2.102468,2.1069434,0.10675019,19.118269,RBS 0292                    ,BLL,-0.5166057,0.4696953,0.043023787
4FGL J0212.9+2244 ,33.2427,22.7466,146.44386,-36.374893,0.0319,19.18607,1796.7941,5.2464534e-12,2.0002497e-15,2.7308868e-17,8.3967837e-13,1.071206e-12,8.959948e-13,7.4617385e-13,7.3208155e-13,2.618456e-13,2.0272257,1.9143422,2.7862108,55.22591,MG3 J021252+2246            ,BLL,0.9951823,0.3781921,0.5273365
4FGL J0214.1-4733 ,33.5464,-47.5577,270.0594,-63.945732,0.0624,5.604232,4419.9775,1.0480525e-12,2.0650636e-15,8.210102e-14,7.905199e-14,1.27805e-13,1.7089616e-13,3.2283163e-13,1.9183505e-17,6.762112e-17,1.9130596,1.5467747,0.7755583,10.395936,2MASS J02140989-4732357     ,BLL,-0.03133287,0.5887552,0.5882051
4FGL J0214.3+5145 ,33.5946,51.757,135.75317,-9.038097,0.0352,17.477066,4434.7295,5.2664535e-12,2.1651451e-13,1.6165324e-12,5.9620586e-13,5.867457e-13,8.909134e-13,8.072767e-13,5.1646995e-13,2.539506e-12,1.8912884,1.9542174,1.6786371,12.469931,TXS 0210+515                ,BLL,-0.50914466,0.58110625,0.016052188
4FGL J0215.2-1619 ,33.8031,-16.3277,188.13515,-67.79804,0.0488,4.6719537,4777.1616,8.8621753e-13,2.9773022e-12,2.2770102e-13,1.4254808e-13,1.09858594e-13,1.3572784e-13,2.6849763e-17,4.388579e-13,1.7156659e-17,2.0197453,2.0532498,0.5883374,5.910646,NVSS J021515-161738         ,BLL,-0.91483444,0.67899716,-0.20237608
4FGL J0216.5+2313 ,34.1413,23.2295,147.15135,-35.606884,0.0375,11.5081835,5088.3066,3.0346745e-12,5.302265e-13,1.0571272e-12,1.6363277e-13,3.8346103e-13,5.3187115e-13,5.960922e-13,2.5861255e-13,1.1973572e-12,1.8464186,1.7987044,1.0296578,14.380115,RBS 0298                    ,BLL,-0.81309646,0.5667197,0.10638537
4FGL J0216.8-6635 ,34.2168,-66.5897,290.3446,-48.397533,0.0283,28.610231,1626.34,6.1043857e-12,1.3954128e-12,5.65587e-13,9.283508e-13,1.0981768e-12,1.2426181e-12,1.1748222e-12,5.954985e-13,6.138939e-21,1.9727746,1.7906266,3.8485656,34.725998,RBS 0300                    ,BLL,-0.3573983,0.46575242,0.40356463
4FGL J0217.2+0837 ,34.3163,8.6234,156.11548,-48.639996,0.0272,42.851074,786.1794,1.882623e-11,4.8269956e-12,5.5329543e-12,3.946693e-12,3.275106e-12,2.2991006e-12,1.4255572e-12,4.0974223e-13,2.0483715e-17,2.276576,2.2156117,3.1664023,89.34986,ZS 0214+083                 ,BLL,-0.44827127,0.11597181,-0.15048373
4FGL J0219.0+2443 ,34.7734,24.7324,147.06609,-33.998367,0.0335,14.433923,3881.1377,3.8368093e-12,3.2881821e-15,8.399782e-17,6.989003e-13,5.0178525e-13,4.4072046e-13,6.2785026e-13,1.3664774e-12,8.004658e-17,1.9295958,1.9224851,0.3883715,13.900582,87GB 021610.9+243205        ,BLL,0.9903964,0.65828145,0.38397577
4FGL J0219.1-1724 ,34.7821,-17.402,191.83107,-67.55039,0.0444,11.947363,3019.8215,3.0059418e-12,8.5889184e-13,6.03371e-13,4.853506e-13,3.2822825e-13,4.9898264e-13,6.7099684e-13,1.2498493e-13,7.1739374e-19,2.017693,1.9860355,0.44906104,18.750282,1RXS J021905.8-172503       ,BLL,-0.50159454,0.59557694,0.15829043
4FGL J0219.5+0724 ,34.8914,7.4064,157.79947,-49.405552,0.0584,5.165577,2271.5872,1.755092e-12,3.877968e-15,3.9449257e-13,4.342175e-13,1.7056453e-13,2.3867787e-13,1.1928699e-13,1.6236124e-13,9.417902e-18,2.3035402,2.299811,0.0,20.165115,GB6 J0219+0727              ,BLL,0.043054853,0.50624734,-0.22117002
4FGL J0220.8-0841 ,35.2088,-8.6932,176.0174,-61.95728,0.0697,7.1296473,5343.406,1.1263707e-12,4.0810573e-14,3.4078195e-13,1.3493259e-17,4.8784154e-14,3.3702625e-13,3.9163453e-13,1.3008793e-18,2.4094192e-13,1.7805865,1.4009511,2.1143615,14.462022,RX J0220.8-0842             ,BLL,-0.9999293,0.8745015,0.3904791
4FGL J0221.5+2513 ,35.3809,25.2305,147.42923,-33.32016,0.0446,8.140734,3002.734,1.2581266e-12,5.3295242e-14,2.3269972e-17,2.5541025e-14,3.1684388e-13,3.562121e-13,3.0880406e-13,1.0488143e-16,6.126343e-17,2.0249875,1.811951,2.9753385,27.924192,2MASS J02212698+2514338     ,BLL,-0.35224006,0.35467374,0.9492482
4FGL J0223.0+6821 ,35.7648,68.3646,131.24452,6.9841895,0.037,14.098498,4140.563,5.7228714e-12,1.814488e-12,1.217947e-12,7.2110243e-13,7.118286e-13,9.596466e-13,7.167686e-13,7.8563767e-13,1.363281e-13,2.0581622,1.9984597,1.4926889,17.409811,NVSS J022304+682154         ,BLL,-0.61577445,0.551446,0.103804946
4FGL J0223.1-1117 ,35.7917,-11.2965,181.07068,-63.264236,0.044,13.552702,2793.8604,2.5482277e-12,3.9763033e-14,1.471494e-13,3.3173955e-13,2.89829e-13,6.132991e-13,7.7741893e-13,2.2451606e-13,1.5450142e-17,1.8895642,1.6496898,2.112923,20.430798,1RXS J022314.6-111741       ,BLL,0.27923757,0.69572765,0.5564685
4FGL J0224.0-7941 ,36.0056,-79.6934,297.9118,-36.515594,0.0381,11.795734,1640.8434,3.3503144e-12,2.026062e-15,1.256684e-12,7.01242e-13,4.5921004e-13,2.736688e-13,4.0169056e-13,2.3790326e-13,1.5803281e-18,2.2972975,2.3070908,0.43811163,21.848967,PMN J0223-7940              ,BLL,-0.28442943,0.33082816,-0.26624343
4FGL J0226.5-4441 ,36.6481,-44.6859,261.87213,-64.112724,0.0438,15.231954,3848.9907,3.640272e-12,1.2910981e-12,4.766839e-13,2.5852261e-13,5.861937e-13,5.5254705e-13,5.8820445e-13,4.9502595e-13,3.5256552e-13,1.9343277,1.8337321,1.8559507,29.50971,RBS 0318                    ,BLL,-0.7448334,0.47236606,0.4027935
4FGL J0227.3+0201 ,36.8296,2.0203,165.13123,-52.811634,0.0334,24.400366,2343.813,7.2619107e-12,1.1889964e-12,1.0858621e-12,8.794217e-13,8.992113e-13,1.3232564e-12,1.2747017e-12,7.9130143e-13,4.5211572e-13,1.9505991,1.9076711,1.3198987,15.505144,RX J0227.2+0201             ,BLL,-0.44239467,0.5806378,0.28043914
4FGL J0231.2-5754 ,37.817,-57.9157,280.18182,-54.58032,0.0478,15.019494,2208.582,3.4706667e-12,1.2835269e-12,4.045065e-13,4.7049544e-13,5.1545183e-13,5.829369e-13,4.1104403e-13,4.0750926e-13,2.947047e-13,2.0525389,2.027738,0.57736397,19.353943,PKS 0229-581                ,BLL,-0.56405914,0.46221447,0.2660718
4FGL J0232.5-1118 ,38.1333,-11.3166,184.18184,-61.477207,0.0706,6.5743303,3940.8223,1.4117914e-12,1.34120866e-14,1.0619267e-15,1.1668922e-13,1.5879268e-13,2.7472382e-13,3.0105237e-13,2.3626072e-13,3.4716966e-17,1.8984345,1.7533509,1.3132604,15.6357975,PMN J0232-1120              ,BLL,0.7792977,0.6728722,0.72369266
4FGL J0232.8+2018 ,38.2139,20.3159,152.93639,-36.577847,0.0333,13.878166,6215.027,3.7970157e-12,1.9386808e-16,2.5542003e-18,3.566371e-13,3.625562e-13,6.1175034e-13,7.894314e-13,1.189716e-12,8.1421073e-13,1.7684032,1.7226009,0.9033337,9.671107,1ES 0229+200                ,BLL,0.9988991,0.7544866,0.6636074
4FGL J0232.9+2608 ,38.2481,26.137,149.73553,-31.395737,0.0436,8.360025,4071.8472,2.1233065e-12,2.8438417e-13,3.2685881e-15,2.1679192e-13,2.9355842e-13,3.0265146e-13,4.3597734e-13,2.8764084e-13,2.17761e-16,1.9645083,1.8844153,0.951476,9.972031,B2 0230+25                  ,BLL,-0.14047296,0.5551566,0.6485352
4FGL J0234.3-0628 ,38.5831,-6.4818,177.42413,-58.009758,0.0481,11.651715,3096.9458,2.8021296e-12,2.3812433e-13,2.838964e-13,2.5641774e-13,4.016114e-13,5.0500343e-13,5.115457e-13,1.5086351e-13,5.029991e-17,1.9353305,1.855135,1.4542696,5.9819193,SDSS J023410.30-062825.7    ,BLL,-0.3411997,0.4880749,0.44822964
4FGL J0235.6-2939 ,38.9008,-29.6517,225.3855,-67.00054,0.0487,7.796534,2641.54,1.7066123e-12,1.3405566e-12,4.6837913e-13,2.73826e-13,2.044089e-13,2.3162798e-13,1.8700685e-13,2.6067936e-13,6.6377253e-13,2.072229,2.205465,1.972651,16.109734,PHL 1389                    ,BLL,-0.7370549,0.5373915,-0.087281816
4FGL J0237.3+2000 ,39.3279,20.0013,154.2637,-36.34751,0.1069,5.871915,3391.751,1.7659175e-12,5.247716e-14,1.7488756e-13,2.486098e-13,2.8517529e-13,2.5254318e-13,1.5784126e-13,5.314459e-13,8.106372e-17,2.07346,2.0443864,0.43603286,9.821711,NVSS J023720+200033         ,BLL,0.04463493,0.53516877,0.2431175
4FGL J0237.6-3602 ,39.4244,-36.0422,241.1298,-65.77617,0.0338,12.70676,3742.9402,2.9504552e-12,3.4308838e-13,2.3910873e-13,1.2663508e-13,4.485864e-13,4.5702174e-13,5.1074645e-13,5.5270507e-13,7.437106e-13,1.8560404,1.8006625,0.95859784,28.768246,RBS 0334                    ,BLL,-0.64269376,0.54436487,0.5895358
4FGL J0238.1-3905 ,39.5299,-39.0874,248.03343,-64.79598,0.0428,17.660608,2436.248,3.8786778e-12,3.7738428e-14,2.8736182e-13,4.5159872e-13,5.5210274e-13,6.5970374e-13,5.259602e-13,7.5879233e-13,4.1022086e-19,1.9533931,1.8811585,1.5548999,27.337296,1RXS J023800.5-390505       ,BLL,0.16286679,0.55770904,0.4032766
